순번,ID,주소,음식분류,업소명,전화번호,영업시간,좌석수,주차,홈페이지,가능언어,예약가능,영유아시설,조식여부,디저트여부,메뉴,업소소개,지하철정보,버스정보
1,1890,대구광역시 중구 공평동 11-3,디저트/베이커리,공주당베이커리,053-427-7256,08:00 ~ 20:00,없음,없음,없음,영어 ,가능,불가능,불가능,불가능,"쌀빵 3,000원 <br />팥빵(4개) 3,000원<br />시몬카스테라(6개) 3,000원 <br />찹쌀도넛 1,000원 <br />휘낭시에 5,000원",공주당 베이커리 는 동성로 한가운데에서 복고적인 분위기와 함께 정감 있는 맛을 전하는 베이커리 전문점입니다.,지하철 1호선 중앙로역 3번 출구에서 도보로 약 556m 거리,버스 정류장은 대구시티센터 정류장이 가장 가깝습니다.
2,1874,대구광역시 중구 대봉동 4-1,일식,톤톤 돈카츠,053-252-4668,11:00 ~ 20:30 (브레이크타임 14:40 ~ 17:30),20석,김광석길공영주차장이용(유료),없음,영어 ,가능,불가능,불가능,불가능,"히레카츠(안심) 12,000원<br />로스카츠(등심) 12,000원<br />치즈카츠 13,000원 <br />경양식 돈까스 11,000원 <br />냉모밀 소바 8,500원",‘톤톤 돈가츠’는 작지만 정성 가득한 수제 돈카츠 전문점입니다.,지하철 2호선 경대병원역 3번 출구에서 도보로 약 483m 거리.,버스 정류장은 방천시장(김광석길)앞 정류장이 가장 가깝습니다.
3,1873,대구광역시 중구 대봉동 9-6,한식,육즙,053-262-6060,16:00 ~ 01:00 (주말 14:00 ~ 01:00),24석,김광석길공영주차장이용,없음,영어 ,가능,불가능,불가능,불가능,"본삼겹(150g) 18,000원 <br />삼겹살(120g) 13,000원 <br />꽃복살(120g) 13,000원 <br />목항정(120g) 15,000원 <br />갈매기살(120g) 15,000원",육즙 은 숙성 삼겹살과 다양한 부위의 숯불구이를 전문으로 하는 고깃집입니다.,지하철 2호선 경대병원역 3번 출구에서 도보로 약 498m 거리.,버스 정류장은 방천시장(김광석길)앞 정류장이 가장 가깝습니다.
4,1872,대구광역시 중구 대봉동 2-11,중식,음밀한양,0507-1353-2337,16:30 ~ 23:50,40석,김광석거리공용주차장이용,없음,영어 ,가능,불가능,불가능,불가능,"음밀한커플세트 54,000원 <br />냉장 생 양갈비(180g) 22,000원 <br />냉장 생 양등심 19,000원 <br />양숄더소금구이 16,000원<br />숙성양꼬치 14,000원",음밀한양 은 감각적인 분위기 속에서 참숯에 구워낸 양고기를 즐길 수 있는 양고기 전문점입니다.,지하철 2호선 경대병원역 3번 출구에서 도보로 약 450m 거리.,버스 정류장은 방천시장(김광석길)앞 정류장이 가장 가깝습니다.
5,1871,대구광역시 중구 대봉동 3-16,일식,와래이수제꼬치전문점,053-254-1553,16:00 ~ 01:00 (주말 12:00 ~ 01:00),10석,김광석길공영주차장,없음,영어 ,가능,불가능,불가능,불가능,"타코야끼 10알 6,500원 <br />이고가 젤 낫제 세트 30,900원 <br />와래이 닭꼬치 4,000원 <br />국내산 마늘 꼬치 2,000원 <br />갈릭버터새우꼬치 14,500원",대구 중구 김광석거리 인근에 위치한 와래이 수제꼬치전문점은 숯불향 가득한 수제 꼬치와 다양한 안주 메뉴로 유명한 일식 꼬치 전문점입니다.,지하철 2호선 경대병원역 3번 출구에서 도보로 약 491m 거리.,버스 정류장은 방천시장(김광석길)앞 정류장이 가장 가깝습니다.
6,1870,대구광역시 중구 남산동 230-7,전통차/커피전문점,씨티씨커피로스터스 남산본점,0507-1447-7865,10:00 ~ 22:00 (주말 11:00 ~ 21:00),10석,4대,없음,영어 ,가능,불가능,불가능,불가능,"라떼 4,500원<br />초당옥수수커피 6,500원<br />우유생크림소금빵 4,300원 <br />에그포테이토소금빵 5,100원","씨티씨커피로스터스 남산본점은 감각적인 인테리어와 직접 로스팅한 원두, 그리고 매장에서 직접 구운 소금빵으로 유명한 로스터리 카페입니다.","지하철 2,3호선 청라언덕역 5번 출구에서 도보로 약 568m 거리.",버스 정류장은 남산2동행정복지센터건너 정류장이 가장 가깝습니다.
7,1869,대구광역시 중구 동성로1가 2-1,한식,초가식당,053-424-5896,11:30 ~ 21:00 (15:30 ~ 17:00),54석,없음,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,불가능,"오징어볶음 18,000원 ~ 34,000원<br />제육볶음 16,000원 ~ 30,000원<br />낙지볶음 21,000원 ~ 40,000원<br />우삼겹 된장찌개 7,000원<br />김치찌개 7,000원","초가식당 은 불향 가득한 볶음 요리로 유명한 한식당입니다. 특히 오징어볶음, 제육볶음, 낙지볶음 등 매콤한 볶음 요리가 대표 메뉴입니다.",지하철 1호선 중앙로역 3번 출구에서 도보로 약 343m 거리.,버스 정류장은 대구역건너 정류장이 가장 가깝습니다.
8,1868,대구광역시 중구 대봉동 7-3,전통차/커피전문점,바람불어오는곳,053-252-5755,11:30~22:00,45석,없음(김광석길공용주차장이용),smartstore.naver.com/cafe_windyplace,영어 ,가능,불가능,불가능,불가능,"에그타르트 4,500원<br />옥수수타르트 4,500원<br />군밤 6,000원<br />아메리카노 4,500원 ~ 5,000원",김광석거리 중심에 위치한 카페 ‘바람이 불어오는 곳’ 은 감성적인 분위기와 독특한 디저트로 많은 이들의 사랑을 받고 있는 공간입니다.,지하철 2호선 경대병원역 3번 출구에서 도보로 약 500m 거리.,버스 정류장은 방천시장(김광석길)앞 정류장이 가장 가깝습니다.
9,1867,대구광역시 중구 삼덕동1가 55-47,특별한 술집,레몽,0507-1440-0723,18:00 ~ 02:00 (금/토 18:00 ~ 04:00),24석,없음,www.instagram.com/lemong_kr/,영어 ,불가능,불가능,불가능,불가능,"스키나베 24,000원<br />오뎅모리 21,000원<br />야끼소바 14,000원<br />대파 타래야끼 19,000원",레몽은 일본식 이자카야 분위기를 물씬 풍기는 감성 주점입니다.,"지하철 1,2호선 반월당역 10번 출구에서 도보로 약 407m 거리.",버스 정류장은 삼덕교회 정류장이 가장 가깝습니다.
10,1866,대구광역시 중구 봉산동 35-34,일식,디귿카츠,010-****-9068,11:30 ~ 21:00 (15:00 ~ 16:00),18석,없음,instagram.com/di.geut,영어 ,가능,불가능,불가능,불가능,"로스카츠 12,500원<br />히레카츠 12,500원<br />상로스카츠 14,000원","디귿카츠는 정통 일본식 돈카츠를 선보이는 맛집으로, 깔끔한 인테리어와 정성 어린 요리로 유명한 돈카츠 전문점입니다.","지하털 1,2호선 반월당역 10번 출구에서 도보로 약 88m 거리.",버스 정류장은 봉산문화거리건너 정류장이 가장 가깝습니다.
11,1865,대구광역시 중구 대봉동 7-38,양식,포레스트,053-270-7773,11:30 ~ 21:00 (15:00 ~ 17:00),24석,"1대,김광석길공영주차장이용",없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"포레스트 쌀국수 12,000원<br />반세오S/L 16,000원/26,000원<br />분짜 13,000원<br />매운 소고기 쌀국수 11,000원",포레스트(PH?REST)는 베트남 현지의 맛을 정성스럽게 담아낸 아시안 비스트로입니다. <br />,지하철 2호선 경대병원역 3번 출구에서 도보로 약 390m 거리.,버스 정류장은 방천시장(김광석길)앞 정류장이 가장 가깝습니다.
12,1864,대구광역시 중구 대봉동 7-38,한식,파슬리,053-719-2689,11:30 ~ 21:00 (평일만 15:00 ~ 17:00),24석,없음,instagram.com/par__sley_,영어 ,가능,불가능,불가능,불가능,"소갈비크림리조또 16,000원<br />바질새우오일파스타 15,000원<br />스테이크트러플크림리조또 16,000원<br />라구파스타 15,000원",김광석거리 인근에 위치한 파슬리는 감성적인 분위기와 정성스러운 요리로 많은 이들의 사랑을 받고 있는 양식당입니다.,지하철 2호선 경대병원역 3번 출구에서 도보로 약 390m 거리.,버스 정류장은 방천시장(김광석길)앞 정류장이 가장 가깝습니다.
13,1863,"대구광역시 중구 남산동 3006, 효성해링턴 상가 1층 304동 105-2호",일식,남산에,0507-1483-0611,평일 11:30~20:30 (주말 12:00~19:30),13석,탑마트주차장이용가능(1시간무료),www.instagram.com/j_swoooo,영어 ,불가능,불가능,불가능,불가능,"남산동까스 12,000원<br />히레카츠 13,500원<br />남산타레 11,000원<br />타레토리 12.000원",남산에는 지리산 흑돼지를 사용한 두툼한 돈까스로 유명한 돈까스 전문점입니다.,"지하철 1,2호선 반월당역 2번 출구에서 도보로 약 391m 거리.",버스 정류장은 반월당역(2번출구) 정류장이 가장 가깝습니다.
14,1862,대구광역시 중구 삼덕동1가 17-23,특별한 술집,나빌레라,0507-1354-8378,16:00 ~ 02:00 (금/토 16:00 ~ 03:00),36석,없음,www.instagram.com/navillera_daegu,영어 ,가능,불가능,불가능,불가능,"에크인헬 19,000원<br />투움바파스타 12,500원<br />목살필라프 12,500원","나빌레라 는 맛있는 술과 안주 매력적인 분위기로 칵테일, 와인, 맛있는 안주를 즐길 수 있는 감성과 휴식이 공존하는 특별한 공간입니다.","지하철 1,2호선 반월당역 10번 출구에서 도보로 약 433m 거리.",버스 정류장은 약령시건너(동성로입구) 정류장이 가장 가깝습니다.
15,1860,대구광역시 중구 남산동 938-8,한식,반월당 부자식당,053-252-1523,11:00 ~ 22:50 (브레이크 타임 15:30 ~ 17:00),56석(룸3),4대,없음,가능한 외국어가 없습니다.,가능,불가능,불가능,가능,"직화부자석갈비(2인이상) 14,000원<br />직화제육볶음(2인이상) 12,000원 <br />직화오징어볶음(2인이상) 13,000원 <br />시골청국장&amp;비빔밥 10,500원",반월당 부자식당은 38년 경력의 어머니 손맛을 이어받아 2대째 운영 중인 직화볶음 요리 전문점입니다.,지하철 1/2호선 반월당역 21번 출구에서 도보로 약 141m 거리.,버스 정류장은 현대백화점.동아쇼핑건너 정류장이 가장 가깝습니다.
