usage_minutes,complaints,contract_months,monthly_fee,contract_type,region,churn
321.0,2,12,63.6,one-year,Gyeonggi,1
80.0,1,6,62.2,two-year,Gyeonggi,1
251.0,1,31,71.6,month-to-month,Other,0
158.0,0,31,58.8,two-year,Seoul,0
356.0,1,32,58.9,one-year,Gyeonggi,0
213.0,0,22,39.4,two-year,Gyeonggi,0
227.0,3,22,55.4,month-to-month,Gyeonggi,1
395.0,2,3,68.7,two-year,Gyeonggi,1
325.0,0,34,52.2,one-year,Seoul,0
179.0,1,24,65.3,month-to-month,Gyeonggi,1
353.0,3,23,45.8,month-to-month,Seoul,1
253.0,0,14,43.3,one-year,Seoul,0
237.0,2,7,94.0,two-year,Seoul,1
159.0,1,6,51.2,month-to-month,Other,0
238.0,1,8,83.6,month-to-month,Seoul,0
390.0,1,8,57.7,month-to-month,Gyeonggi,1
232.0,0,4,51.0,two-year,Seoul,0
167.0,1,36,72.8,one-year,Gyeonggi,0
245.0,0,23,43.0,one-year,Seoul,0
298.0,0,34,88.6,two-year,Other,0
349.0,1,35,85.6,month-to-month,Seoul,0
218.0,1,10,63.3,month-to-month,Other,0
347.0,3,34,107.1,month-to-month,Seoul,1
185.0,1,14,68.5,month-to-month,Other,0
430.0,2,19,83.8,month-to-month,Gyeonggi,1
411.0,1,35,59.8,two-year,Other,0
266.0,3,17,42.1,month-to-month,Gyeonggi,1
391.0,0,35,81.0,month-to-month,Seoul,0
521.0,1,21,97.0,month-to-month,Gyeonggi,0
418.0,0,35,83.0,month-to-month,Gyeonggi,0
321.0,0,5,58.3,one-year,Seoul,0
317.0,2,6,62.4,month-to-month,Other,0
255.0,1,32,59.6,month-to-month,Seoul,1
357.0,0,15,,one-year,Other,1
361.0,0,22,85.2,one-year,Seoul,0
336.0,0,9,50.4,one-year,Seoul,0
483.0,1,19,86.3,two-year,Other,0
323.0,0,21,41.6,one-year,Seoul,0
31.0,1,5,96.9,month-to-month,Seoul,1
417.0,0,9,78.5,two-year,Other,0
550.0,0,25,53.6,month-to-month,Seoul,0
224.0,0,14,61.4,month-to-month,Seoul,0
235.0,1,12,,month-to-month,Gyeonggi,1
197.0,2,17,93.7,one-year,Seoul,0
344.0,0,36,47.5,one-year,Seoul,0
277.0,0,1,56.3,two-year,Other,0
383.0,3,32,69.9,two-year,Other,0
438.0,1,20,63.4,two-year,Gyeonggi,1
257.0,0,25,40.2,month-to-month,Seoul,0
231.0,1,19,59.9,month-to-month,Gyeonggi,0
373.0,0,8,53.6,month-to-month,Other,0
401.0,1,30,74.5,month-to-month,Other,0
387.0,2,11,82.8,month-to-month,Seoul,1
411.0,0,35,98.1,two-year,Other,0
277.0,1,23,45.7,month-to-month,Seoul,0
171.0,1,15,49.9,month-to-month,Other,1
229.0,0,33,78.7,month-to-month,Other,0
349.0,4,31,88.0,month-to-month,Gyeonggi,0
184.0,2,3,83.5,month-to-month,Seoul,1
153.0,1,19,75.5,one-year,Seoul,0
150.0,0,29,72.8,month-to-month,Gyeonggi,0
143.0,3,21,54.7,month-to-month,Gyeonggi,1
336.0,2,9,18.0,one-year,Seoul,0
345.0,1,19,87.2,two-year,Gyeonggi,0
229.0,0,27,79.5,month-to-month,Other,0
270.0,2,21,,one-year,Seoul,1
38.0,0,30,66.7,month-to-month,Other,0
261.0,2,11,46.5,one-year,Seoul,1
266.0,0,19,24.2,month-to-month,Seoul,0
254.0,0,13,,one-year,Gyeonggi,0
183.0,1,31,71.1,month-to-month,Seoul,0
252.0,0,10,55.4,month-to-month,Gyeonggi,1
317.0,0,10,62.4,month-to-month,Gyeonggi,1
270.0,2,5,32.1,month-to-month,Gyeonggi,0
346.0,0,18,65.5,month-to-month,Other,1
289.0,0,23,85.2,one-year,Other,0
308.0,0,21,35.5,month-to-month,Other,0
