date,temperature_c,promotion,weekend,foot_traffic,sales_10k_krw
2026-01-01,31.9,1,0,205,128.4
2026-01-02,17.6,0,0,151,120.6
2026-01-03,15.9,0,1,143,108.9
2026-01-04,25.4,1,1,169,127.7
2026-01-05,19.2,0,0,114,84.5
2026-01-06,20.9,0,0,122,72.4
2026-01-07,11.4,1,0,138,93.7
2026-01-08,23.0,0,0,184,105.8
2026-01-09,7.2,0,0,126,81.1
2026-01-10,15.3,0,1,173,118.3
2026-01-11,25.4,0,1,158,102.1
2026-01-12,23.8,0,0,127,90.6
2026-01-13,29.6,1,0,191,132.2
2026-01-14,19.8,1,0,162,118.0
2026-01-15,15.0,1,0,179,113.6
2026-01-16,12.5,1,0,136,87.8
2026-01-17,6.4,1,1,159,117.6
2026-01-18,20.0,0,1,157,101.3
2026-01-19,9.7,1,0,156,99.9
2026-01-20,24.9,1,0,188,124.3
2026-01-21,35.0,1,0,183,115.7
2026-01-22,10.5,0,0,125,86.6
2026-01-23,25.1,0,0,141,95.5
2026-01-24,25.2,1,1,210,128.2
2026-01-25,11.8,1,1,185,129.5
2026-01-26,18.9,1,0,162,109.9
2026-01-27,6.1,1,0,123,102.9
2026-01-28,19.0,1,0,186,117.9
2026-01-29,18.4,0,0,114,85.9
2026-01-30,32.7,1,0,197,120.1
2026-01-31,18.8,0,1,187,121.1
2026-02-01,19.1,0,1,165,102.8
2026-02-02,19.1,1,0,164,97.1
2026-02-03,19.2,1,0,166,114.9
2026-02-04,9.9,0,0,129,97.4
2026-02-05,10.8,1,0,160,100.2
2026-02-06,10.1,1,0,159,104.4
2026-02-07,11.0,1,1,168,131.2
2026-02-08,7.4,1,1,163,107.6
2026-02-09,15.6,1,0,180,111.3
2026-02-10,22.6,1,0,162,107.6
2026-02-11,28.8,0,0,166,99.7
2026-02-12,14.2,0,0,134,96.0
2026-02-13,24.5,0,0,150,105.2
2026-02-14,21.7,0,1,173,118.4
2026-02-15,3.6,1,1,155,117.5
