customer_id,annual_spend_10k,visits_per_month,online_ratio
C0001,52.0,5.0,0.69
C0002,147.6,16.2,0.08
C0003,34.1,4.6,0.69
C0004,81.6,12.4,0.57
C0005,119.2,7.8,0.38
C0006,49.2,6.0,0.83
C0007,28.1,5.9,0.87
C0008,144.6,20.4,0.26
C0009,83.1,11.7,0.59
C0010,135.1,14.2,0.1
C0011,129.3,16.5,0.47
C0012,88.6,10.8,0.66
C0013,147.0,16.8,0.26
C0014,60.0,12.7,0.44
C0015,147.9,24.9,0.21
C0016,104.9,11.5,0.44
C0017,34.3,6.0,0.62
C0018,114.5,10.2,0.47
C0019,33.7,1.0,0.58
C0020,33.7,4.3,0.85
C0021,39.4,5.4,0.79
C0022,85.0,8.1,0.43
C0023,45.2,4.3,0.86
C0024,90.3,8.3,0.53
C0025,101.6,7.2,0.5
C0026,154.0,20.7,0.2
C0027,91.5,7.8,0.54
C0028,88.4,11.7,0.52
C0029,106.8,16.2,0.34
C0030,85.6,11.2,0.49
C0031,168.9,19.9,0.34
C0032,166.3,21.2,0.27
C0033,83.0,11.5,0.33
C0034,192.7,15.9,0.27
C0035,45.5,3.3,0.86
C0036,158.7,20.2,0.33
C0037,83.0,7.5,0.4
C0038,172.0,20.9,0.18
C0039,21.9,6.2,0.66
C0040,30.0,2.8,0.66
C0041,81.2,13.1,0.64
C0042,30.5,3.1,0.82
C0043,101.3,14.4,0.5
C0044,43.6,3.5,0.74
C0045,191.3,20.6,0.09
C0046,35.7,7.5,0.74
C0047,155.9,18.3,0.22
C0048,45.1,5.4,0.77
C0049,72.5,14.0,0.54
C0050,122.3,11.2,0.49
C0051,88.5,13.1,0.45
C0052,89.2,6.4,0.41
C0053,121.0,10.8,0.47
C0054,94.4,7.9,0.54
C0055,37.3,6.2,0.69
C0056,173.1,18.5,0.15
C0057,131.7,15.4,0.29
C0058,47.7,4.5,0.9
C0059,145.7,16.4,0.26
C0060,98.1,11.6,0.57
C0061,85.7,12.1,0.4
C0062,33.9,4.8,0.92
C0063,37.0,4.8,0.89
C0064,30.9,6.9,0.59
C0065,101.1,13.7,0.73
C0066,188.3,15.6,0.2
C0067,39.2,5.8,0.76
C0068,32.0,4.5,0.67
C0069,174.2,14.8,0.21
C0070,24.2,1.9,0.91
C0071,169.7,26.5,0.27
C0072,35.4,2.7,0.8
C0073,103.3,10.2,0.56
C0074,152.0,13.4,0.11
C0075,158.5,19.3,0.29
C0076,98.3,13.9,0.51
C0077,74.2,10.3,0.41
C0078,180.1,12.7,0.28
C0079,152.7,16.0,0.08
C0080,84.2,15.9,0.3
C0081,42.5,6.1,0.74
C0082,33.0,4.4,0.77
C0083,87.6,8.9,0.55
C0084,78.3,13.1,0.59
C0085,38.2,4.9,0.81
C0086,161.4,19.1,0.25
C0087,37.9,6.3,0.73
C0088,41.8,6.5,0.92
C0089,85.5,8.1,0.38
C0090,38.7,4.4,0.78
C0091,56.5,8.7,0.86
C0092,141.5,17.4,0.26
C0093,34.4,7.6,0.68
C0094,45.5,5.7,0.75
C0095,141.0,14.8,0.15
C0096,157.2,17.7,0.22
C0097,168.4,23.8,0.1
C0098,107.8,13.2,0.65
C0099,105.8,11.5,0.45
C0100,32.9,5.4,0.78
C0101,163.8,16.3,0.09
C0102,176.4,18.2,0.26
C0103,40.2,4.4,0.77
C0104,32.1,6.2,0.76
C0105,111.6,9.3,0.39
C0106,38.5,4.7,0.76
C0107,182.8,19.4,0.27
C0108,95.4,13.0,0.49
C0109,179.4,21.3,0.18
C0110,124.2,20.7,0.2
C0111,73.2,10.6,0.55
C0112,166.8,21.2,0.11
C0113,29.7,6.0,0.72
C0114,49.5,7.2,0.72
C0115,117.3,18.6,0.17
C0116,197.5,15.7,0.37
C0117,93.2,9.8,0.47
C0118,127.9,16.5,0.09
C0119,117.3,15.8,0.37
C0120,33.4,5.1,0.86
C0121,147.0,18.8,0.23
C0122,136.5,17.8,0.32
C0123,107.3,12.9,0.27
C0124,76.6,14.3,0.39
C0125,156.0,23.6,0.29
C0126,97.3,6.8,0.41
C0127,22.5,4.0,0.85
C0128,122.7,12.0,0.58
C0129,30.2,2.7,0.86
C0130,76.3,13.2,0.68
C0131,166.8,14.8,0.36
C0132,23.4,4.1,0.84
C0133,73.7,6.1,0.34
C0134,72.6,10.3,0.27
C0135,20.4,5.2,0.72
C0136,21.6,6.4,0.81
C0137,99.1,14.4,0.56
C0138,140.6,12.9,0.2
C0139,100.1,5.3,0.48
C0140,137.9,25.4,0.15
C0141,178.4,20.9,0.21
C0142,110.0,10.3,0.47
C0143,79.2,8.7,0.72
C0144,84.0,12.6,0.37
C0145,85.1,14.7,0.31
C0146,47.6,4.2,0.93
C0147,168.9,16.0,0.29
C0148,34.0,5.0,0.8
C0149,65.6,9.7,0.5
C0150,32.1,6.3,0.81
C0151,28.4,5.9,0.91
C0152,150.6,16.0,0.28
C0153,152.0,17.6,0.21
C0154,183.2,20.2,0.26
C0155,95.0,11.4,0.44
C0156,67.1,16.0,0.39
C0157,46.1,7.0,0.78
C0158,23.5,5.1,0.51
C0159,31.2,3.7,0.76
C0160,166.4,18.9,0.31
C0161,35.8,5.7,0.69
C0162,109.4,7.8,0.49
C0163,77.4,7.2,0.48
C0164,90.0,10.0,0.15
C0165,155.5,22.2,0.3
C0166,26.9,5.3,0.71
C0167,147.4,13.8,0.33
C0168,148.7,15.8,0.32
C0169,33.7,4.6,0.53
C0170,44.8,5.0,0.76
C0171,175.3,21.0,0.29
C0172,94.8,9.4,0.47
C0173,95.3,9.4,0.37
C0174,45.2,6.6,0.84
C0175,46.4,3.5,0.81
C0176,78.3,13.6,0.53
C0177,123.9,17.0,0.24
C0178,65.9,4.3,0.53
C0179,134.6,22.9,0.15
C0180,167.3,20.8,0.41
C0181,155.8,16.8,0.15
C0182,89.5,15.7,0.49
C0183,37.0,6.3,0.77
C0184,168.9,20.2,0.19
C0185,172.2,16.6,0.37
C0186,57.5,10.8,0.46
C0187,43.4,2.5,0.86
C0188,81.6,11.7,0.49
C0189,78.2,9.9,0.23
C0190,162.4,19.1,0.17
C0191,178.8,19.9,0.21
C0192,33.9,5.2,0.82
C0193,144.6,18.2,0.28
C0194,26.7,6.4,0.69
C0195,76.9,8.0,0.41
C0196,113.3,9.5,0.28
C0197,134.4,21.7,0.17
C0198,22.5,6.4,0.82
C0199,165.7,13.5,0.2
C0200,72.6,11.7,0.67
C0201,85.4,12.7,0.59
C0202,79.1,9.4,0.42
C0203,89.0,7.6,0.62
C0204,42.6,4.8,0.79
C0205,37.6,5.5,0.81
C0206,123.8,12.0,0.28
C0207,82.5,9.0,0.24
C0208,33.0,7.2,0.66
C0209,196.0,18.2,0.31
C0210,30.6,6.8,0.74
C0211,177.7,16.3,0.22
C0212,65.9,10.6,0.51
C0213,96.1,13.2,0.37
C0214,169.4,11.2,0.13
C0215,112.9,10.7,0.28
C0216,107.2,9.7,0.51
C0217,94.7,10.3,0.36
C0218,109.8,21.9,0.09
C0219,12.6,7.0,0.75
C0220,69.3,7.6,0.24
C0221,39.9,2.9,0.68
C0222,107.7,7.8,0.29
C0223,26.3,2.6,0.87
C0224,92.2,16.3,0.21
C0225,97.3,10.2,0.45
C0226,84.5,9.9,0.43
C0227,155.9,22.1,0.32
C0228,86.7,9.3,0.38
C0229,43.0,6.2,0.68
C0230,96.9,15.4,0.52
C0231,27.5,7.1,0.99
C0232,27.3,7.2,0.72
C0233,160.9,21.4,0.25
C0234,89.2,12.7,0.31
C0235,165.5,18.9,0.28
C0236,39.6,4.1,0.74
C0237,128.7,17.0,0.06
C0238,98.6,10.5,0.62
C0239,44.9,6.3,0.76
C0240,29.7,4.4,0.79
C0241,93.6,8.6,0.28
C0242,98.2,12.1,0.76
C0243,132.0,18.9,0.14
C0244,31.5,6.6,0.79
C0245,111.1,11.5,0.52
C0246,84.0,10.1,0.66
C0247,99.3,9.2,0.44
C0248,28.1,3.1,0.67
C0249,99.8,8.5,0.41
C0250,36.2,7.9,0.94
