dt,AverageTemperature,City,Latitude,Longitude
1849-01-01,26.704,Abidjan,5.63N,3.23W
1849-02-01,27.434,Abidjan,5.63N,3.23W
1849-03-01,28.101,Abidjan,5.63N,3.23W
1849-04-01,26.14,Abidjan,5.63N,3.23W
1849-05-01,25.427,Abidjan,5.63N,3.23W
1849-06-01,24.844,Abidjan,5.63N,3.23W
1849-07-01,24.058,Abidjan,5.63N,3.23W
1849-08-01,23.576,Abidjan,5.63N,3.23W
1849-09-01,23.662,Abidjan,5.63N,3.23W
1849-10-01,25.263,Abidjan,5.63N,3.23W
1849-11-01,26.332,Abidjan,5.63N,3.23W
1849-12-01,25.45,Abidjan,5.63N,3.23W
1850-01-01,25.803,Abidjan,5.63N,3.23W
1850-02-01,27.89,Abidjan,5.63N,3.23W
1850-03-01,27.852,Abidjan,5.63N,3.23W
1850-04-01,26.547,Abidjan,5.63N,3.23W
1850-05-01,25.379,Abidjan,5.63N,3.23W
1850-06-01,24.903,Abidjan,5.63N,3.23W
1850-07-01,24.04,Abidjan,5.63N,3.23W
1850-08-01,23.758,Abidjan,5.63N,3.23W
1850-09-01,24,Abidjan,5.63N,3.23W
1850-10-01,24.491,Abidjan,5.63N,3.23W
1850-11-01,25.542,Abidjan,5.63N,3.23W
1850-12-01,26.014,Abidjan,5.63N,3.23W
1851-01-01,26.789,Abidjan,5.63N,3.23W
1851-02-01,27.363,Abidjan,5.63N,3.23W
1851-03-01,27.181,Abidjan,5.63N,3.23W
1851-04-01,26.604,Abidjan,5.63N,3.23W
1851-05-01,26.212,Abidjan,5.63N,3.23W
1851-06-01,24.898,Abidjan,5.63N,3.23W
1851-07-01,24.318,Abidjan,5.63N,3.23W
1851-08-01,23.752,Abidjan,5.63N,3.23W
1851-09-01,24.083,Abidjan,5.63N,3.23W
1851-10-01,25.138,Abidjan,5.63N,3.23W
1851-11-01,25.527,Abidjan,5.63N,3.23W
1851-12-01,26.203,Abidjan,5.63N,3.23W
1852-01-01,,Abidjan,5.63N,3.23W
1852-02-01,,Abidjan,5.63N,3.23W
1852-03-01,,Abidjan,5.63N,3.23W
1852-04-01,,Abidjan,5.63N,3.23W
1852-05-01,,Abidjan,5.63N,3.23W
1852-06-01,,Abidjan,5.63N,3.23W
1852-07-01,,Abidjan,5.63N,3.23W
1852-08-01,,Abidjan,5.63N,3.23W
1852-09-01,,Abidjan,5.63N,3.23W
1852-10-01,,Abidjan,5.63N,3.23W
1852-11-01,,Abidjan,5.63N,3.23W
1852-12-01,,Abidjan,5.63N,3.23W
1853-01-01,,Abidjan,5.63N,3.23W
1853-02-01,,Abidjan,5.63N,3.23W
1853-03-01,,Abidjan,5.63N,3.23W
1853-04-01,,Abidjan,5.63N,3.23W
1853-05-01,,Abidjan,5.63N,3.23W
1853-06-01,,Abidjan,5.63N,3.23W
1853-07-01,,Abidjan,5.63N,3.23W
1853-08-01,,Abidjan,5.63N,3.23W
1853-09-01,,Abidjan,5.63N,3.23W
1853-10-01,,Abidjan,5.63N,3.23W
1853-11-01,,Abidjan,5.63N,3.23W
1853-12-01,,Abidjan,5.63N,3.23W
1854-01-01,,Abidjan,5.63N,3.23W
1854-02-01,,Abidjan,5.63N,3.23W
1854-03-01,,Abidjan,5.63N,3.23W
1854-04-01,,Abidjan,5.63N,3.23W
1854-05-01,,Abidjan,5.63N,3.23W
1854-06-01,,Abidjan,5.63N,3.23W
1854-07-01,,Abidjan,5.63N,3.23W
1854-08-01,,Abidjan,5.63N,3.23W
1854-09-01,,Abidjan,5.63N,3.23W
1854-10-01,,Abidjan,5.63N,3.23W
1854-11-01,,Abidjan,5.63N,3.23W
1854-12-01,,Abidjan,5.63N,3.23W
1855-01-01,,Abidjan,5.63N,3.23W
1855-02-01,,Abidjan,5.63N,3.23W
1855-03-01,,Abidjan,5.63N,3.23W
1855-04-01,,Abidjan,5.63N,3.23W
1855-05-01,,Abidjan,5.63N,3.23W
1855-06-01,,Abidjan,5.63N,3.23W
1855-07-01,,Abidjan,5.63N,3.23W
1855-08-01,,Abidjan,5.63N,3.23W
1855-09-01,,Abidjan,5.63N,3.23W
1855-10-01,,Abidjan,5.63N,3.23W
1855-11-01,,Abidjan,5.63N,3.23W
1855-12-01,,Abidjan,5.63N,3.23W
1856-01-01,26.689,Abidjan,5.63N,3.23W
1856-02-01,26.597,Abidjan,5.63N,3.23W
1856-03-01,27.297,Abidjan,5.63N,3.23W
1856-04-01,26.998,Abidjan,5.63N,3.23W
1856-05-01,26.052,Abidjan,5.63N,3.23W
1856-06-01,,Abidjan,5.63N,3.23W
1856-07-01,24.031,Abidjan,5.63N,3.23W
1856-08-01,,Abidjan,5.63N,3.23W
1856-09-01,,Abidjan,5.63N,3.23W
1856-10-01,,Abidjan,5.63N,3.23W
1856-11-01,,Abidjan,5.63N,3.23W
1856-12-01,,Abidjan,5.63N,3.23W
1857-01-01,26.549,Abidjan,5.63N,3.23W
1857-02-01,,Abidjan,5.63N,3.23W
1857-03-01,27.299,Abidjan,5.63N,3.23W
1857-04-01,26.069,Abidjan,5.63N,3.23W
1857-05-01,25.256,Abidjan,5.63N,3.23W
1857-06-01,24.358,Abidjan,5.63N,3.23W
1857-07-01,24.09,Abidjan,5.63N,3.23W
1857-08-01,23.264,Abidjan,5.63N,3.23W
1857-09-01,23.71,Abidjan,5.63N,3.23W
1857-10-01,24.577,Abidjan,5.63N,3.23W
1857-11-01,25.778,Abidjan,5.63N,3.23W
1857-12-01,25.91,Abidjan,5.63N,3.23W
1858-01-01,26.454,Abidjan,5.63N,3.23W
1858-02-01,26.783,Abidjan,5.63N,3.23W
1858-03-01,27.285,Abidjan,5.63N,3.23W
1858-04-01,27.161,Abidjan,5.63N,3.23W
1858-05-01,25.925,Abidjan,5.63N,3.23W
1858-06-01,25.014,Abidjan,5.63N,3.23W
1858-07-01,23.531,Abidjan,5.63N,3.23W
1858-08-01,23.475,Abidjan,5.63N,3.23W
1858-09-01,23.712,Abidjan,5.63N,3.23W
1858-10-01,25.17,Abidjan,5.63N,3.23W
1858-11-01,26.417,Abidjan,5.63N,3.23W
1858-12-01,24.914,Abidjan,5.63N,3.23W
1859-01-01,26.176,Abidjan,5.63N,3.23W
1859-02-01,27.094,Abidjan,5.63N,3.23W
1859-03-01,28.034,Abidjan,5.63N,3.23W
1859-04-01,28.273,Abidjan,5.63N,3.23W
1859-05-01,27.137,Abidjan,5.63N,3.23W
1859-06-01,25.361,Abidjan,5.63N,3.23W
1859-07-01,23.975,Abidjan,5.63N,3.23W
1859-08-01,23.515,Abidjan,5.63N,3.23W
1859-09-01,23.785,Abidjan,5.63N,3.23W
1859-10-01,25.316,Abidjan,5.63N,3.23W
1859-11-01,26.163,Abidjan,5.63N,3.23W
1859-12-01,26.222,Abidjan,5.63N,3.23W
1860-01-01,26.532,Abidjan,5.63N,3.23W
1860-02-01,27.19,Abidjan,5.63N,3.23W
1860-03-01,26.825,Abidjan,5.63N,3.23W
1860-04-01,,Abidjan,5.63N,3.23W
1860-05-01,26.11,Abidjan,5.63N,3.23W
1860-06-01,25.404,Abidjan,5.63N,3.23W
1860-07-01,24.275,Abidjan,5.63N,3.23W
1860-08-01,23.96,Abidjan,5.63N,3.23W
1860-09-01,24.52,Abidjan,5.63N,3.23W
1860-10-01,25.158,Abidjan,5.63N,3.23W
1860-11-01,25.324,Abidjan,5.63N,3.23W
1860-12-01,24.81,Abidjan,5.63N,3.23W
1861-01-01,25.189,Abidjan,5.63N,3.23W
1861-02-01,26.443,Abidjan,5.63N,3.23W
1861-03-01,27.542,Abidjan,5.63N,3.23W
1861-04-01,27.034,Abidjan,5.63N,3.23W
1861-05-01,25.984,Abidjan,5.63N,3.23W
1861-06-01,25.176,Abidjan,5.63N,3.23W
1861-07-01,24.084,Abidjan,5.63N,3.23W
1861-08-01,23.648,Abidjan,5.63N,3.23W
1861-09-01,,Abidjan,5.63N,3.23W
1861-10-01,,Abidjan,5.63N,3.23W
1861-11-01,25.762,Abidjan,5.63N,3.23W
1861-12-01,25.856,Abidjan,5.63N,3.23W
1862-01-01,25.427,Abidjan,5.63N,3.23W
1862-02-01,26.064,Abidjan,5.63N,3.23W
1862-03-01,27.177,Abidjan,5.63N,3.23W
1862-04-01,26.656,Abidjan,5.63N,3.23W
1862-05-01,,Abidjan,5.63N,3.23W
1862-06-01,24.912,Abidjan,5.63N,3.23W
1862-07-01,24.211,Abidjan,5.63N,3.23W
1862-08-01,23.681,Abidjan,5.63N,3.23W
1862-09-01,23.987,Abidjan,5.63N,3.23W
1862-10-01,24.933,Abidjan,5.63N,3.23W
1862-11-01,,Abidjan,5.63N,3.23W
1862-12-01,24.687,Abidjan,5.63N,3.23W
1863-01-01,,Abidjan,5.63N,3.23W
1863-02-01,,Abidjan,5.63N,3.23W
1863-03-01,,Abidjan,5.63N,3.23W
1863-04-01,,Abidjan,5.63N,3.23W
1863-05-01,,Abidjan,5.63N,3.23W
1863-06-01,,Abidjan,5.63N,3.23W
1863-07-01,,Abidjan,5.63N,3.23W
1863-08-01,,Abidjan,5.63N,3.23W
1863-09-01,,Abidjan,5.63N,3.23W
1863-10-01,,Abidjan,5.63N,3.23W
1863-11-01,,Abidjan,5.63N,3.23W
1863-12-01,,Abidjan,5.63N,3.23W
1864-01-01,,Abidjan,5.63N,3.23W
1864-02-01,,Abidjan,5.63N,3.23W
